URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku,Latitude,Longitude
https://www.otodom.pl/pl/oferta/200-m-od-dworca-wysoki-standard-garaz-3-pokoje-ID4wgp6,489 999 zł,10 103 zł/m²,"Żyrardów, żyrardowski, mazowieckie",48.5m²,3 pokoje,gazowe,wtórny,biuro nieruchomości,Brak danych,,,,52.0543308,20.4435009
https://www.otodom.pl/pl/oferta/dwa-piekne-po-generalnym-remoncie-ID4wgoG,599 000 zł,13 614 zł/m²,"ul. Sochaczewska, Wrzeszcz Dolny, Gdańsk, pomorskie",44m²,3 pokoje,elektryczne,wtórny,biuro nieruchomości,1920,,Brak danych,,54.38678,18.61706
https://www.otodom.pl/pl/oferta/wygoda-styl-bezpieczenstwo-widok-wizyta3d-ID4waoT,1 650 000 zł,24 286 zł/m²,"ul. Księcia Witolda, Nadodrze, Śródmieście, Wrocław, dolnośląskie",67.94m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,2021,,,,,
https://www.otodom.pl/pl/oferta/super-2-pokoje-balkon-miejsce-w-garazu-komorka-ID4wgnr,625 100 zł,14 000 zł/m²,"Leśnica, Fabryczna, Wrocław, dolnośląskie",44.65m²,2 pokoje,kotłownia,wtórny,biuro nieruchomości,2024,,,Brak danych,,
https://www.otodom.pl/pl/oferta/tu-zrealizujesz-swoje-marzenia-ID4rXtX,275 000 zł,5 095 zł/m²,"Racibórz, raciborski, śląskie",53.97m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,1960,,,Brak danych,50.0917343,18.2196766
https://www.otodom.pl/pl/oferta/125-metrowe-mieszkanie-z-ogrodkiem-ID4uffD,799 000 zł,9 309 zł/m²,"ul. Łąkówek, Marki, wołomiński, mazowieckie",85.83m²,5 pokoi,gazowe,wtórny,biuro nieruchomości,2014,Brak danych,,,,
https://www.otodom.pl/pl/oferta/nowe-dwupokojowe-z-winda-sloneczne-krowodrza-ID4w6yZ,659 000 zł,16 405 zł/m²,"ul. Oboźna, Krowodrza, Krowodrza, Kraków, małopolskie",40.17m²,2 pokoje,gazowe,wtórny,biuro nieruchomości,2024,,,,50.07574,19.91639
https://www.otodom.pl/pl/oferta/prabuty-ul-jagielly-22-1-pietro-ID4u49V,299 999 zł,5 034 zł/m²,"Ul.Jagiełły, Prabuty, Prabuty, kwidzyński, pomorskie",59.6m²,4 pokoje,miejskie,wtórny,prywatny,1982,,,,,
https://www.otodom.pl/pl/oferta/apartament-88-5m2-w-centrum-bydgoszczy-ID4wgoJ,569 000 zł,6 429 zł/m²,"Bocianowo, Bydgoszcz, kujawsko-pomorskie",88.5m²,3 pokoje,gazowe,wtórny,biuro nieruchomości,1900,,,,53.1355259,18.0033266
https://www.otodom.pl/pl/oferta/mieszkanie-25-m2-stan-derweloperski-ID4wgo1,268 000 zł,10 497 zł/m²,"Bocianowo, Bydgoszcz, kujawsko-pomorskie",25.53m²,2 pokoje,miejskie,pierwotny,deweloper,2024,,,,53.1355259,18.0033266
https://www.otodom.pl/pl/oferta/kawalerka-na-odra-szybki-dojazd-do-centrum-ID4wgnG,496 304 zł,16 910 zł/m²,"ul. Jedności Narodowej, Ołbin, Śródmieście, Wrocław, dolnośląskie",29.35m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2026,,,,51.12164,17.04304
https://www.otodom.pl/pl/oferta/salon-z-aneksem-i-wydzielona-sypialnia-blok-z-co-ID4wgq7,224 000 zł,8 960 zł/m²,"ul. Bezpieczna, Radzionków, tarnogórski, śląskie",25m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,,,,,
https://www.otodom.pl/pl/oferta/pilsudskiego-kawalerka-z-oddzielna-kuchnia-ID4uqBU,160 000 zł,5 092 zł/m²,"ul. Józefa Piłsudskiego, Hrubieszów, hrubieszowski, lubelskie",31.42m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,,,Brak danych,,
https://www.otodom.pl/pl/oferta/3-pokoje-z-balkonem-na-tarninowie-ID4w8l9,415 000 zł,5 253 zł/m²,"Legnica, dolnośląskie",79m²,3 pokoje,gazowe,wtórny,prywatny,Brak danych,,,,51.204768900000005,16.174675034638256
https://www.otodom.pl/pl/oferta/mieszkanie-marzen-ID4wgpB,553 469 zł,11 900 zł/m²,"Kolonia Gosławicka, Opole, opolskie",46.51m²,2 pokoje,miejskie,pierwotny,biuro nieruchomości,2025,,,Brak danych,50.669944,17.9846713
https://www.otodom.pl/pl/oferta/stylowe-2-pokoje-od-zaraz-gotowe-do-wejscia-ID4w4oa,685 000 zł,13 991 zł/m²,"ul. Feniksa, Józefosław, Piaseczno, piaseczyński, mazowieckie",48.96m²,2 pokoje,gazowe,wtórny,biuro nieruchomości,2014,,Brak danych,,,
https://www.otodom.pl/pl/oferta/m4-na-parterze-w-jastrzebiu-ul-turystyczna-ID4wgsT,240 000 zł,4 309 zł/m²,"Jastrzębie-Zdrój, śląskie",55.7m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,Brak danych,,,Brak danych,49.9519085,18.6023614
https://www.otodom.pl/pl/oferta/gotowehala-15tyszobacz-na-zywoobok-manufaktury-ID4w1u5,371 633 zł,9 780 zł/m²,"Stare Polesie, Polesie, Łódź, łódzkie",38m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2024,,,,51.7696244,19.4460517
https://www.otodom.pl/pl/oferta/mieszkanie-plus-poddasze-garaz-2-miejsca-ID4wg0c,1 385 000 zł,12 647 zł/m²,"Międzylesie, Wawer, Warszawa, mazowieckie",109.51m²,4 pokoje,gazowe,pierwotny,biuro nieruchomości,2025,,,Brak danych,52.2063738,21.1751597
https://www.otodom.pl/pl/oferta/3pok-na-strzezonym-osiedlu-gotowe-do-zamieszkania-ID4uL5C,1 090 000 zł,20 998 zł/m²,"ul. Gumińska, Odolany, Wola, Warszawa, mazowieckie",51.91m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,2022,,Brak danych,,,
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-53m2-balkon-bez-prowizji-ID4uoqW,2 238 000 zł,42 012 zł/m²,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",53.27m²,3 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,52.2378353,20.9885035
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-66m2-taras-bez-prowizji-ID4uprq,650 000 zł,9 703 zł/m²,"ul. Narutowicza, Błonie, Błonie, warszawski zachodni, mazowieckie",66.99m²,4 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych,,
https://www.otodom.pl/pl/oferta/ogrody-ochota-idealna-inwestycja-bez-prowizji-ID4uL26,1 515 600 zł,18 000 zł/m²,"al. Aleja Krakowska 291, Rakowiec, Ochota, Warszawa, mazowieckie",84.2m²,4 pokoje,miejskie,wtórny,biuro nieruchomości,2014,,,,,
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-balkon-bezposrednio-ID4uaUs,Brak danych,Brak danych,"ul. Ludwika Zieleniewskiego, Grzegórzki, Grzegórzki, Kraków, małopolskie",40.73m²,2 pokoje,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych,,
https://www.otodom.pl/pl/oferta/idealne-dla-singla-pary-na-forcie-sluzew-z-garazem-ID4wgpP,1 099 000 zł,23 891 zł/m²,"ul. Fort Służew, Stary Służew, Ursynów, Warszawa, mazowieckie",46m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2019,,,Brak danych,52.16846,21.04099
https://www.otodom.pl/pl/oferta/mieszkanie-do-remontu-z-widokiem-na-zatoke-ID4uVbb,599 000 zł,14 121 zł/m²,"ul. Sztormowa, Żabianka, Gdańsk, pomorskie",42.42m²,2 pokoje,brak informacji,wtórny,biuro nieruchomości,1976,Brak danych,,Brak danych,54.42111,18.57083
https://www.otodom.pl/pl/oferta/centrum-promocja-balkon-skomunikowane-0-pcc-ID4wgtA,755 000 zł,13 727 zł/m²,"Ołbin, Śródmieście, Wrocław, dolnośląskie",55m²,3 pokoje,miejskie,pierwotny,biuro nieruchomości,Brak danych,,,Brak danych,,
https://www.otodom.pl/pl/oferta/duza-kawalerka-w-centrum-wrzeszcza-ID4wgoz,519 000 zł,12 975 zł/m²,"Aleja Grunwaldzka, Wrzeszcz Górny, Gdańsk, pomorskie",40m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1960,,,,54.38502316846159,18.594555573781257
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-balkon-ID4uh3p,Brak danych,Brak danych,"ul. Krakowska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",40.02m²,2 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,51.09597,17.05534
https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-nowym-budownictwie-ID4umj6,459 000 zł,12 405 zł/m²,"Łężyca, Zielona Góra, lubuskie",37m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2025,,Brak danych,,51.9881323,15.4803778
https://www.otodom.pl/pl/oferta/nowe-3pok-3tarasy-58-5-m2-do-wprowadzenia-ID4wg8z,775 900 zł,13 256 zł/m²,"ul. Maratońska, Retkinia, Polesie, Łódź, łódzkie",58.53m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,2024,,,,,
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-67m2-balkon-bezposrednio-ID4uG0M,Brak danych,Brak danych,"ul. Jurajska, Modlnica, Wielka Wieś, krakowski, małopolskie",67.08m²,4 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych,50.12614,19.88023
https://www.otodom.pl/pl/oferta/ladne-mieszkanie-nowe-bez-pcc-klimatyzacja-ID4wgqt,698 000 zł,11 997 zł/m²,"Lipa Piotrowska, Psie Pole, Wrocław, dolnośląskie",58.18m²,3 pokoje,kotłownia,wtórny,prywatny,2024,,Brak danych,Brak danych,51.17091,16.99637
https://www.otodom.pl/pl/oferta/kawalerka-na-woli-duchackiej-ul-wyslouchow-klok-ID4uLJk,455 000 zł,15 744 zł/m²,"ul. Marii i Bolesława Wysłouchów, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",28.9m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2006,,,,,
https://www.otodom.pl/pl/oferta/piekne-mieszkanie-na-muranowie-bezposredio-ID4wgtH,799 000 zł,22 699 zł/m²,"ul. Smocza 1, Nowolipki, Wola, Warszawa, mazowieckie",35.2m²,2 pokoje,miejskie,wtórny,prywatny,1956,,,Brak danych,52.24338,20.98729
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-41m2-loggia-ID4uoqy,1 644 000 zł,40 010 zł/m²,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",41.09m²,2 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,52.2378353,20.9885035
https://www.otodom.pl/pl/oferta/top-gotowe-dwustronne-2m-na-zielonym-biskupinie-ID4wgsx,649 000 zł,14 103 zł/m²,"Biskupin, Śródmieście, Wrocław, dolnośląskie",46.02m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,1980,,,,51.10028,17.09983
https://www.otodom.pl/pl/oferta/kleczkow-3-pokoje-balkon-piwnica-skomunikowane-ID4wgrh,740 000 zł,12 131 zł/m²,"Kleczków, Psie Pole, Wrocław, dolnośląskie",61m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,1976,,Brak danych,Brak danych,51.146,17.11473
https://www.otodom.pl/pl/oferta/nowe-4-pokojowe-m-85-m2-mokotow-ID4uInE,1 749 000 zł,20 576 zł/m²,"Służewiec, Mokotów, Warszawa, mazowieckie",85m²,4 pokoje,miejskie,pierwotny,biuro nieruchomości,2025,,,,52.1805647,20.9937829
https://www.otodom.pl/pl/oferta/osiedle-europejskie-drugie-pietro-ID4tEPr,330 000 zł,8 919 zł/m²,"Osiedle Europejskie, Gorzów Wielkopolski, lubuskie",37m²,2 pokoje,miejskie,wtórny,prywatny,2024,,,,52.7352202,15.1906742
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-73m2-ogrodek-ID4up7G,Brak danych,Brak danych,"ul. Chodakowska, Grochów, Praga-Południe, Warszawa, mazowieckie",73.78m²,4 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych,52.2379,21.08446
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bezposrednio-ID4ugYp,Brak danych,Brak danych,"ul. Krakowska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",28.57m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,,
https://www.otodom.pl/pl/oferta/promocja-przestronne-2-pokoje-tramwaj-rataje-ID4wgrS,"455 090,81 zł",10 706 zł/m²,"Rataje, Nowe Miasto, Poznań, wielkopolskie",42.51m²,2 pokoje,miejskie,pierwotny,biuro nieruchomości,2026,,,Brak danych,,
https://www.otodom.pl/pl/oferta/dwupoziomowe-3-pok-mieszkanie-w-kornicach-61-63-m2-ID4kdvk,272 000 zł,4 413 zł/m²,"Racibórz, raciborski, śląskie",61.63m²,4 pokoje,brak informacji,pierwotny,biuro nieruchomości,Brak danych,,,Brak danych,50.0917343,18.2196766
https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-gotowe-do-wynajmu-ID4uPKJ,795 000 zł,24 033 zł/m²,"ul. św. Barbary, Śródmieście, Gdańsk, pomorskie",33.08m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2019,,Brak danych,Brak danych,54.34833,18.66337
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-92m2-taras-bez-prowizji-ID4waSK,Brak danych,Brak danych,"ul. Graniczna, Skawina, Skawina, krakowski, małopolskie",92.95m²,3 pokoje,brak informacji,pierwotny,deweloper,2024,Brak danych,Brak danych,Brak danych,,
https://www.otodom.pl/pl/oferta/biskupin-balkon-rozklad-piwnica-ID4wbcA,625 000 zł,13 021 zł/m²,"Biskupin, Śródmieście, Wrocław, dolnośląskie",48m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,Brak danych,,,Brak danych,,
https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-3-pokojowe-w-kozienicach-ID4rFRy,484 000 zł,7 992 zł/m²,"Kozienice, Kozienice, kozienicki, mazowieckie",60.56m²,3 pokoje,miejskie,wtórny,prywatny,1985,,Brak danych,Brak danych,51.5889741,21.5452603
https://www.otodom.pl/pl/oferta/browarna-12-luksusowy-apartament-centrum-ID4uL5G,1 350 000 zł,24 771 zł/m²,"ul. Browarna 12, Górne Przedmieście, Bielsko-Biała, śląskie",54.5m²,2 pokoje,miejskie,wtórny,prywatny,2022,,,,,
https://www.otodom.pl/pl/oferta/nowa-okazyjna-cena-4-pokoje-duzy-balkon-umeblowane-ID4wgrQ,455 000 zł,6 276 zł/m²,"ul. Cypriana Kamila Norwida, Słupsk, pomorskie",72.5m²,4 pokoje,miejskie,wtórny,biuro nieruchomości,Brak danych,,,Brak danych,54.46565,16.99088
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-zabki-ID4tdCZ,795 000 zł,11 249 zł/m²,"ul. gen. Władysława Sikorskiego, Ząbki, wołomiński, mazowieckie",70.67m²,3 pokoje,gazowe,wtórny,biuro nieruchomości,2006,,,,52.2867,21.11321
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-balkon-bezposrednio-ID4uHdD,Brak danych,Brak danych,"ul. Śliwkowa, Ujeścisko-Łostowice, Gdańsk, pomorskie",72.74m²,4 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych,54.34394,18.59044
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-86m2-balkon-ID4ugPS,Brak danych,Brak danych,"Wojciechowskiego 7/17, Piątkowo, Stare Miasto, Poznań, wielkopolskie",86.22m²,4 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,,
https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-inwestycyjny-34m2-ID4uVY3,Brak danych,Brak danych,"ul. Kaszubska, Oliwa, Gdańsk, pomorskie",34.61m²,2 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,54.40506,18.56832
https://www.otodom.pl/pl/oferta/2-pokoje-11-pietro-z-widokiem-na-krakow-balkon-ID4wgsa,629 000 zł,16 501 zł/m²,"Aleja Kijowska, Łobzów, Krowodrza, Kraków, małopolskie",38.12m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,1987,,,,50.072763497640345,19.915426700890844
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-44m2-loggia-bezposrednio-ID4ulYK,871 590 zł,19 630 zł/m²,"ul. Jana Dekerta, Zabłocie, Podgórze, Kraków, małopolskie",44.4m²,2 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych,,
https://www.otodom.pl/pl/oferta/przytulne-2-pokojowe-tylko-u-nas-ID4wgsN,260 000 zł,5 221 zł/m²,"ul. Krośnieńska, Osiedle Łużyckie, Centrum, Zielona Góra, lubuskie",49.8m²,2 pokoje,brak informacji,wtórny,biuro nieruchomości,1975,,Brak danych,,51.93672,15.48594
https://www.otodom.pl/pl/oferta/kawalerka-10-min-do-morza-balkon-winda-klimatyzacj-ID4uFkF,459 000 zł,15 300 zł/m²,"ul. Jagiellońska, Przymorze Wielkie, Gdańsk, pomorskie",30m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1972,,,Brak danych,54.41383,18.59683
https://www.otodom.pl/pl/oferta/narutowicza-blisko-dw-fabrycznego-2-pokoje-ID4wgqF,395 000 zł,8 681 zł/m²,"ul. Narutowicza, Fabryczna, Śródmieście, Łódź, łódzkie",45.5m²,2 pokoje,miejskie,wtórny,prywatny,1952,,,,51.75706,19.47855
https://www.otodom.pl/pl/oferta/gotowe-4-pokojowe-mieszkanie-92m2-2-balkony-ID4ulbd,1 219 000 zł,13 221 zł/m²,"Długa/ul. Gnieźnieńska, Szczepin, Stare Miasto, Wrocław, dolnośląskie",92.2m²,4 pokoje,brak informacji,pierwotny,deweloper,2022,Brak danych,Brak danych,Brak danych,50.92093,15.26703
https://www.otodom.pl/pl/oferta/centrum-karpacza-nowy-apartament-ID4wgqT,512 380 zł,17 000 zł/m²,"ul. Kościelna, Karpacz, karkonoski, dolnośląskie",30.14m²,2 pokoje,brak informacji,wtórny,biuro nieruchomości,2021,Brak danych,Brak danych,Brak danych,,
https://www.otodom.pl/pl/oferta/2-pokoje-jana-pawla-ii-ID4wgog,490 000 zł,11 667 zł/m²,"al. Jana Pawła II, Leśna Dolina, Białystok, podlaskie",42m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2016,,,,53.14221205,23.0937349
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-53m2-balkon-bezposrednio-ID4uahY,Brak danych,Brak danych,"ul. Ługowa, Mszczonów, Mszczonów, żyrardowski, mazowieckie",53.74m²,3 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,,
https://www.otodom.pl/pl/oferta/4-pokoje-gotowe-zakrow-ID4wgnD,808 999 zł,11 691 zł/m²,"ul. Odolanowska, Psie Pole, Psie Pole, Wrocław, dolnośląskie",69.2m²,4 pokoje,miejskie,pierwotny,biuro nieruchomości,2023,,Brak danych,Brak danych,51.16342,17.14216
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-66m2-ogrodek-bezposrednio-ID4ug0W,Brak danych,Brak danych,"ul. Malinowa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",66.42m²,4 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,,
https://www.otodom.pl/pl/oferta/dwustronne-tylzycka-przy-parku-3pok-m-parkingowe-ID4u97J,920 000 zł,14 154 zł/m²,"ul. Tylżycka, Marymont-Potok, Żoliborz, Warszawa, mazowieckie",65m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,1988,,,,,
https://www.otodom.pl/pl/oferta/nowa-cena-ID4w3NM,505 000 zł,13 649 zł/m²,"ul. Szegedyńska, Wrzeciono, Bielany, Warszawa, mazowieckie",37m²,2 pokoje,brak informacji,wtórny,biuro nieruchomości,1968,,,Brak danych,52.29024,20.94555
https://www.otodom.pl/pl/oferta/sliczne-mieszkanie-z-duzym-balkonem-ID4wfUV,879 000 zł,12 855 zł/m²,"ul. Jasielska, Podolany, Jeżyce, Poznań, wielkopolskie",68.38m²,4 pokoje,miejskie,pierwotny,biuro nieruchomości,Brak danych,,,,52.44398,16.89387
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-63m2-ogrodek-bezposrednio-ID4uhgE,720 900 zł,11 317 zł/m²,"ul. Malwy, Nowa Wola, Lesznowola, piaseczyński, mazowieckie",63.7m²,4 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,,
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-57m2-balkon-ID4unGc,979 700 zł,16 994 zł/m²,"ul. Fajansowa, Raków, Włochy, Warszawa, mazowieckie",57.65m²,3 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,,
https://www.otodom.pl/pl/oferta/bezposrednio-gotowe-do-wprowadzenia-17m2-piwnica-ID4wgom,580 000 zł,10 584 zł/m²,"ul. Pszczelińska, Brwinów, Brwinów, pruszkowski, mazowieckie",54.8m²,2 pokoje,brak informacji,wtórny,prywatny,1981,,,,52.14289,20.71785
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-41m2-bez-prowizji-ID4uorR,1 342 000 zł,32 021 zł/m²,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",41.91m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,52.2378353,20.9885035
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-przy-metrze-wilanowska-ID4tTeK,825 000 zł,14 525 zł/m²,"al. Aleja Wilanowska, Ksawerów, Mokotów, Warszawa, mazowieckie",56.8m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,1982,,,,52.177685749999995,21.031613450000002
https://www.otodom.pl/pl/oferta/promocja-4-pokoje-2-balkony-wagrowska-rataje-ID4wgsB,"684 316,82 zł",9 692 zł/m²,"Rataje, Nowe Miasto, Poznań, wielkopolskie",70.61m²,4 pokoje,miejskie,pierwotny,biuro nieruchomości,2026,,,Brak danych,52.38355,16.94089
https://www.otodom.pl/pl/oferta/nowe-2-pok-kupujacy-nie-placi-prowizji-ani-pcc-ID4wgrj,459 000 zł,11 959 zł/m²,"Słupsk, pomorskie",38.38m²,2 pokoje,brak informacji,wtórny,biuro nieruchomości,Brak danych,,,Brak danych,54.46357705,17.02094802171876
https://www.otodom.pl/pl/oferta/kawalerka-przy-placu-sw-jozefa-1-w-kaliszu-ID4wgqu,69 000 zł,2 654 zł/m²,"pl. św. Józefa, Śródmieście, Kalisz, wielkopolskie",26m²,1 pokój,piece kaflowe,wtórny,biuro nieruchomości,1900,,,,51.7632903,18.0924375972266
https://www.otodom.pl/pl/oferta/wyspa-spichrzow-inwestycja-second-home-ID4w0Ev,785 000 zł,23 788 zł/m²,"ul. Chmielna, Śródmieście, Gdańsk, pomorskie",33m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2019,,Brak danych,Brak danych,54.34961,18.65637
https://www.otodom.pl/pl/oferta/mieszkanie-jednopokojowe-blisko-metra-ID4t8Iw,440 000 zł,16 923 zł/m²,"ul. Suwalska, Bródno, Targówek, Warszawa, mazowieckie",26m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1969,,Brak danych,,52.29498,21.03329
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-52m2-balkon-bez-prowizji-ID4ug18,Brak danych,Brak danych,"ul. Malinowa, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",52.74m²,3 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych,50.10415,19.95718
https://www.otodom.pl/pl/oferta/piekne-46m2-ul-wolnosc-centrum-bezposrednio-hit-ID4rhiK,470 000 zł,10 149 zł/m²,"ul. Wolność, Śródmieście, Radom, mazowieckie",46.31m²,2 pokoje,kotłownia,wtórny,prywatny,2022,,,,51.39896,21.1617
https://www.otodom.pl/pl/oferta/dwupoziomowy-apartament-na-skraju-nadmorskich-wydm-ID4tu3A,879 000 zł,14 987 zł/m²,"Wypoczynkowa, Rowy, Ustka, słupski, pomorskie",58.65m²,4 pokoje,brak informacji,wtórny,prywatny,2022,,,,54.66130255,17.04111015
https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-mirabelkowa-aleja-ID4w3wZ,720 000 zł,12 414 zł/m²,"Złotno, Polesie, Łódź, łódzkie",58m²,3 pokoje,gazowe,pierwotny,prywatny,2024,,,Brak danych,51.7784509,19.3750657
https://www.otodom.pl/pl/oferta/dom-jednorodzinny-w-zabudowie-szeregowej-ID4tW62,1 999 000 zł,13 507 zł/m²,"ul. Olchowa, Ujeścisko-Łostowice, Gdańsk, pomorskie",148m²,4 pokoje,gazowe,wtórny,prywatny,2021,szeregowiec,plastikowe,silikat,54.34394,18.59044
https://www.otodom.pl/pl/oferta/dzialka-budowlana-nowy-las-ID4wd5m,149 000 zł,2 129 zł/m²,"Nowy Las, Głuchołazy, nyski, opolskie",70m²,3 pokoje,brak informacji,wtórny,biuro nieruchomości,Brak danych,wolnostojący,Brak danych,Brak danych,50.3583838,17.4228009
https://www.otodom.pl/pl/oferta/swietne-domy-garaz-600-m-od-stacji-pkp-wolomin-ID4t0xC,949 000 zł,8 614 zł/m²,"Wołomin, Wołomin, wołomiński, mazowieckie",110.17m²,4 pokoje,gazowe,pierwotny,biuro nieruchomości,2025,bliźniak,plastikowe,cegła,52.3466298,21.2380648
https://www.otodom.pl/pl/oferta/dom-w-zabudowie-blizniaczej-imielnica-ID4wd5P,729 000 zł,6 395 zł/m²,"ul. Lokalna, Płock, mazowieckie",114m²,5 pokoi,brak informacji,wtórny,biuro nieruchomości,1970,bliźniak,Brak danych,pustak,,
https://www.otodom.pl/pl/oferta/dom-z-garazem-i-dzialka-1300-m2-ID4taXL,559 000 zł,3 727 zł/m²,"Knurów, gliwicki, śląskie",150m²,4 pokoje,brak informacji,wtórny,biuro nieruchomości,Brak danych,wolnostojący,plastikowe,cegła,50.2071818,18.663707304011943
https://www.otodom.pl/pl/oferta/dom-na-ul-bialejglinice-radom-ID4sh79,410 000 zł,5 000 zł/m²,"ul. Biała, Glinice, Radom, mazowieckie",82m²,5 pokoi,gazowe,wtórny,biuro nieruchomości,1985,wolnostojący,plastikowe,Brak danych,,
https://www.otodom.pl/pl/oferta/dom-z-budynkiem-uslugowym-barcino-kolo-kepic-sprze-ID4ufMM,439 000 zł,2 727 zł/m²,"Barcino, Kępice, słupski, pomorskie",161m²,4 pokoje,węglowe,wtórny,biuro nieruchomości,1997,wolnostojący,plastikowe,pustak,54.2768134,16.9610839
https://www.otodom.pl/pl/oferta/obiekt-inwestycyjny-pod-ostroda-2-budynki-6lokali-ID4ryai,799 000 zł,2 370 zł/m²,"Wirwajdy, Ostróda, ostródzki, warmińsko-mazurskie",337.12m²,10+ pokoi,piece kaflowe,wtórny,biuro nieruchomości,1990,wolnostojący,plastikowe,inny,53.65551,19.84916
